number of snapshots: 150
fluid nodes: 22243
kinematic viscosity (lattice units): 0.012
relaxation time tau: 0.536
collision frequency omega: 1.86567164179
POD orthogonality spectral-norm error: 1.725970e-14
SVD energy identity relative error: 1.029178e-15
modes for >=90% fluctuation energy: 4
modes for >=99% fluctuation energy: 14

mode, eigenvalue, energy_fraction, cumulative_energy
87, 1.514516343815e-08, 2.056580288420e-09, 9.999999886696e-01
88, 1.192850928471e-08, 1.619786882151e-09, 9.999999902894e-01
89, 9.991243113376e-09, 1.356723136577e-09, 9.999999916461e-01
90, 9.590051939456e-09, 1.302244895814e-09, 9.999999929484e-01
91, 7.438570911231e-09, 1.010092652517e-09, 9.999999939585e-01
92, 6.811996185353e-09, 9.250093032535e-10, 9.999999948835e-01
93, 6.026249709659e-09, 8.183118271777e-10, 9.999999957018e-01
94, 4.803662106067e-09, 6.522951594355e-10, 9.999999963541e-01
95, 4.216028615282e-09, 5.724996881684e-10, 9.999999969266e-01
96, 3.427375150819e-09, 4.654074685280e-10, 9.999999973920e-01
97, 2.928477401940e-09, 3.976615323107e-10, 9.999999977897e-01
98, 2.425517010623e-09, 3.293639249021e-10, 9.999999981190e-01
99, 2.100719392372e-09, 2.852592586073e-10, 9.999999984043e-01
100, 1.766776317805e-09, 2.399127196007e-10, 9.999999986442e-01
101, 1.576986209404e-09, 2.141408883842e-10, 9.999999988583e-01
102, 1.198010004017e-09, 1.626792454008e-10, 9.999999990210e-01
103, 1.023276123980e-09, 1.389519178701e-10, 9.999999991600e-01
104, 7.484217904698e-10, 1.016291113654e-10, 9.999999992616e-01
105, 6.915077347943e-10, 9.390068205439e-11, 9.999999993555e-01
106, 6.014404965675e-10, 8.167034148882e-11, 9.999999994372e-01
107, 5.452640988004e-10, 7.404207964841e-11, 9.999999995112e-01
108, 4.565960230755e-10, 6.200173307224e-11, 9.999999995732e-01
109, 3.936648961727e-10, 5.345623829137e-11, 9.999999996267e-01
110, 3.589839506798e-10, 4.874687023629e-11, 9.999999996754e-01
111, 3.307117792148e-10, 4.490775745397e-11, 9.999999997203e-01
112, 3.090152218105e-10, 4.196155535675e-11, 9.999999997623e-01
113, 2.301051038344e-10, 3.124625381185e-11, 9.999999997935e-01
114, 2.085702901306e-10, 2.832201508978e-11, 9.999999998218e-01
115, 1.898465065499e-10, 2.577948959021e-11, 9.999999998476e-01
116, 1.517967155228e-10, 2.061266187492e-11, 9.999999998682e-01
117, 1.371226630140e-10, 1.862005431647e-11, 9.999999998869e-01
118, 1.330080894267e-10, 1.806133133078e-11, 9.999999999049e-01
119, 1.076964328006e-10, 1.462423048357e-11, 9.999999999195e-01
120, 9.086241470465e-11, 1.233831855317e-11, 9.999999999319e-01
121, 7.492990447854e-11, 1.017482348031e-11, 9.999999999421e-01
122, 5.494885593332e-11, 7.461572431698e-12, 9.999999999495e-01
123, 5.180510061393e-11, 7.034678047370e-12, 9.999999999566e-01
124, 4.439680830442e-11, 6.028696963256e-12, 9.999999999626e-01
125, 4.001709097212e-11, 5.433969783768e-12, 9.999999999680e-01
126, 3.520917304922e-11, 4.781096721754e-12, 9.999999999728e-01
127, 2.683495945401e-11, 3.643952003491e-12, 9.999999999764e-01
128, 2.363262484109e-11, 3.209103065165e-12, 9.999999999796e-01
129, 2.186309174988e-11, 2.968815999928e-12, 9.999999999826e-01
130, 1.998166335474e-11, 2.713334534356e-12, 9.999999999853e-01
131, 1.505290203040e-11, 2.044051998887e-12, 9.999999999874e-01
132, 1.341246956813e-11, 1.821295666137e-12, 9.999999999892e-01
133, 1.078949616231e-11, 1.465118895547e-12, 9.999999999907e-01
134, 9.596531036172e-12, 1.303124700291e-12, 9.999999999920e-01
135, 9.212892048645e-12, 1.251029892411e-12, 9.999999999932e-01
136, 7.747212597643e-12, 1.052003485045e-12, 9.999999999943e-01
137, 6.572536915474e-12, 8.924928357804e-13, 9.999999999952e-01
138, 5.973708135296e-12, 8.111771424580e-13, 9.999999999960e-01
139, 4.585568222075e-12, 6.226799238737e-13, 9.999999999966e-01
140, 4.391772655399e-12, 5.963641865733e-13, 9.999999999972e-01
141, 3.902457681929e-12, 5.299195071629e-13, 9.999999999977e-01
142, 3.521214171867e-12, 4.781499841014e-13, 9.999999999982e-01
143, 2.943361894523e-12, 3.996827157845e-13, 9.999999999986e-01
144, 2.660553667213e-12, 3.612798403013e-13, 9.999999999990e-01
145, 2.457913909091e-12, 3.337631394149e-13, 9.999999999993e-01
146, 1.926958884547e-12, 2.616641064811e-13, 9.999999999996e-01
147, 1.367517972400e-12, 1.856969399889e-13, 9.999999999997e-01
148, 1.014050368431e-12, 1.376991412272e-13, 9.999999999999e-01
149, 9.064670340362e-13, 1.230902685147e-13, 1.000000000000e+00
150, 1.969031217160e-30, 2.673771600439e-31, 1.000000000000e+00
